rad_scale,transport_scale,storage_scale,mode,manageable_failure,manageable_CVaR95,manageable_unsafe,manageable_Y,manageable_Tc95,frontier_failure,frontier_CVaR95,frontier_unsafe,frontier_Y,frontier_Tc95,harsh_failure,harsh_CVaR95,harsh_unsafe,harsh_Y,harsh_Tc95
1.0,1.0,2.0,pump_radiator,1.0,684.0831035192022,0.9696279761904761,1.0000000000000162,6.028118223100674,1.0,1129.1544829682323,0.9745833333333334,1.0000000000000162,7.682757854602038,1.0,1524.1892929791825,0.9762500000000001,1.0000000000000162,9.027438097078102
1.0,1.0,2.0,radiator_only,1.0,2558.928979125519,0.9726041666666667,1.0000000000000162,11.573012159495798,1.0,4013.7433972273825,0.9761458333333333,1.0000000000000162,13.856640661888914,1.0,7017.525133326072,0.978125,1.0000000000000162,17.85888243993154
1.0,1.5,1.0,a10_hybrid,1.0,117.8648555936444,0.9619940476190477,0.6763710516116118,3.4142293158561374,1.0,218.6866494076127,0.9673958333333333,0.6498325709371957,4.587204960641757,1.0,318.3604273334693,0.9716666666666667,0.6140884578208725,5.456850809514288
1.0,1.5,1.0,load_throttle,1.0,678.6735851200405,0.9700744047619049,0.5607011567472039,6.626041910168255,1.0,1351.2858887263267,0.9734375,0.5595973053624861,8.53385756291276,1.0,1769.5506560333956,0.9762500000000001,0.5585866001977328,9.839460183566839
1.0,1.5,1.0,no_control,1.0,2330.173049103045,0.9732886904761904,1.0000000000000162,10.96759104179849,1.0,3236.725861621963,0.9751041666666667,1.0000000000000162,12.573154240514661,1.0,5851.374052444786,0.9779166666666667,1.0000000000000162,16.37008005496547
1.0,1.5,1.0,pump_only,1.0,484.5505699032591,0.9648660714285715,1.0000000000000162,5.2191763899729455,1.0,654.6258120398763,0.9672916666666667,1.0000000000000162,6.175984043632231,1.0,1188.495884469644,0.9736458333333333,1.0000000000000162,7.978470294941709
1.0,1.5,1.0,pump_radiator,1.0,372.7873846850216,0.9661607142857143,1.0000000000000162,4.759508593307595,1.0,629.8663230607766,0.9721875,1.0000000000000162,6.2734878732679595,1.0,902.0799361824975,0.9745833333333334,1.0000000000000162,7.487315233348694
1.0,1.5,1.0,radiator_only,1.0,1655.1111991236467,0.9724851190476189,1.0000000000000162,9.280904761609822,1.0,2384.849204614622,0.9757291666666668,1.0000000000000162,10.969458439349808,1.0,3575.3744513588013,0.9767708333333334,1.0000000000000162,13.326430734495577
1.0,1.5,2.0,a10_hybrid,1.0,81.84015852960486,0.9611011904761906,0.6209114566970614,3.0832542945144814,1.0,157.30800466883025,0.9659375,0.5954111831220965,4.089560175204222,1.0,225.65435471568762,0.9694791666666667,0.5681058452700253,4.619883714517704
1.0,1.5,2.0,load_throttle,1.0,679.2579786752564,0.9701041666666667,0.5606802244616745,6.617208126310049,1.0,1311.1236746171328,0.9739583333333333,0.559462862304607,8.457770066846228,1.0,1618.299278189591,0.975625,0.5588532595209699,9.46726092773953
