rad_scale,transport_scale,storage_scale,best_a10_mode,regime,best_manage_failure,best_manage_CVaR95,best_manage_unsafe,best_manage_Y,best_manage_Tc95,best_frontier_failure,best_frontier_CVaR95,best_frontier_unsafe,best_frontier_Y,best_harsh_failure,best_harsh_CVaR95,best_harsh_unsafe,best_harsh_Y,a10v1_manage_failure,a10v1_manage_CVaR95,a10v1_manage_Y,a10v2_manage_failure,a10v2_manage_CVaR95,a10v2_manage_Y,no_control_manage_failure,no_control_manage_CVaR95,pump_radiator_manage_failure,pump_radiator_manage_CVaR95,pump_radiator_manage_unsafe,pump_radiator_manage_Y,regime_order,resource_score
4.0,2.0,2.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,26.487097946288294,0.9546428571428571,0.8119412671971139,2.2828004206063346,1.0,41.97893211583008,0.9587500000000001,0.7861849949147461,1.0,97.00461074895154,0.9662499999999999,0.7581782435357636,1.0,29.98443895896482,0.6627496609180425,1.0,26.487097946288294,0.8119412671971139,1.0,1276.4333771255567,1.0,152.00448256989964,0.9625595238095238,1.0000000000000162,4,7.0
1.0,6.0,1.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,11.22179796522609,0.9211607142857143,0.7659212240578492,1.6613326714177572,1.0,20.162767999549224,0.9316666666666668,0.7438255672851973,1.0,43.91176865778224,0.946875,0.7000182519103965,1.0,11.22179796522609,0.7659212240578492,1.0,13.43629961465937,0.8693814135789264,1.0,261.74022227199436,1.0,38.89681505600674,0.9401488095238096,1.0000000000000162,4,7.5
2.0,4.0,4.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,4.259607377182745,0.884702380952381,0.6362572976684623,1.5056113248961955,1.0,10.941223668380594,0.9110416666666666,0.6184592593025235,1.0,33.21918150315789,0.9464583333333332,0.580373599861207,1.0,4.259607377182745,0.6362572976684623,1.0,6.1885568751054185,0.7869933107776402,1.0,446.14584165594187,1.0,49.58386696164102,0.9496428571428572,1.0000000000000162,4,8.0
1.0,6.0,2.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,8.016344608214327,0.9077678571428571,0.6963039346293749,1.5804700797579474,1.0,17.617875602827326,0.9285416666666666,0.668409502287317,1.0,37.45806510234826,0.9427083333333333,0.6320132393043201,1.0,8.016344608214327,0.6963039346293749,1.0,9.475064566542091,0.8329495668436646,1.0,240.9680560076904,1.0,41.253306247958385,0.940952380952381,1.0000000000000162,4,8.0
4.0,2.0,4.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,15.554506609556478,0.9470535714285714,0.7780121364012305,2.004233614302751,1.0,43.641021669305715,0.9597916666666666,0.755190463244843,1.0,91.05840181870809,0.9681249999999999,0.7340422691429056,1.0,17.560350208932714,0.6210441254306991,1.0,15.554506609556478,0.7780121364012305,1.0,1284.0404467827138,1.0,158.70901567605765,0.9616071428571428,1.0000000000000162,4,8.0
2.0,6.0,1.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,4.625896523741216,0.9186011904761904,0.8722013185640091,1.4767906912144189,1.0,11.539838969757978,0.9327083333333334,0.8708132042108742,1.0,29.428370197231473,0.9472916666666666,0.8475579961387303,1.0,4.781644966794075,0.7769258251455763,1.0,4.625896523741216,0.8722013185640091,1.0,213.2671082053943,1.0,24.59862368571362,0.9404166666666668,1.0000000000000162,4,8.5
4.0,4.0,1.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,4.731499601705809,0.9286309523809523,0.870234819750564,1.573694086639876,1.0,11.886224538337666,0.94375,0.868420967048703,1.0,30.64804537045437,0.9550000000000001,0.8432600175743533,1.0,5.668034357442522,0.7727417220067883,1.0,4.731499601705809,0.870234819750564,1.0,385.9868406083272,1.0,35.86134636255264,0.9512499999999999,1.0000000000000162,4,8.5
2.0,6.0,2.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,3.416636802117334,0.8955654761904762,0.7146538561875533,1.4418080761810224,1.0,9.149478009708709,0.9327083333333334,0.6776777133336835,1.0,19.65611373885751,0.9406249999999999,0.6479789636041786,1.0,3.416636802117334,0.7146538561875533,1.0,4.068942742370879,0.8459822889484743,1.0,185.22129364999608,1.0,26.916365585156992,0.9393452380952382,1.0000000000000162,4,9.0
4.0,4.0,2.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,3.900256096885877,0.9176488095238096,0.7158394418959059,1.5625260617897083,1.0,7.569594138661114,0.9381250000000001,0.6864243695850181,1.0,34.28215788259484,0.9554166666666666,0.6292877468036051,1.0,3.900256096885877,0.7158394418959059,1.0,4.8460855738109725,0.8473511407572759,1.0,448.9546985869877,1.0,35.855681694553624,0.948422619047619,1.0000000000000162,4,9.0
1.0,6.0,4.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,6.258132707277598,0.8706547619047619,0.6292594198059643,1.4973802284894089,1.0,14.250588581918903,0.899375,0.6129927787750044,1.0,28.101712225091728,0.9277083333333334,0.5870487414381157,1.0,6.258132707277598,0.6292594198059643,1.0,9.189941728228096,0.7790041130315888,1.0,239.0739887817729,1.0,37.68520995652235,0.9404761904761906,1.0000000000000162,4,9.0
1.0,8.0,1.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,8.952381928688345,0.9143154761904763,0.7706533844766231,1.5548042850306487,1.0,20.3486991843283,0.9304166666666667,0.7448194607031955,1.0,40.80807129132764,0.940625,0.7080726160488887,1.0,8.952381928688345,0.7706533844766231,1.0,10.919392416926911,0.8705824845623946,1.0,144.07998333359805,1.0,27.5036538051999,0.935892857142857,1.0000000000000162,4,9.5
4.0,4.0,4.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,1.6783399057387882,0.862797619047619,0.6472967548856146,1.3818828193014792,1.0,4.0329520642449745,0.913125,0.6275222606629957,1.0,21.478274927983247,0.9497916666666666,0.5841753361327697,1.0,1.6783399057387882,0.6472967548856146,1.0,3.218006514466321,0.793587724462588,1.0,373.01154047016644,1.0,40.324097434903805,0.950952380952381,1.0000000000000162,4,10.0
2.0,6.0,4.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,1.7859649569003095,0.8318154761904761,0.6445152626445125,1.326971857673141,1.0,6.930353026940952,0.9052083333333333,0.6185647633557747,1.0,17.860912179836102,0.933125,0.5905815196353904,1.0,1.7859649569003095,0.6445152626445125,1.0,3.708351306758884,0.7912606079604807,1.0,227.42799250701592,1.0,25.676293770537693,0.9404761904761905,1.0000000000000162,4,10.0
1.0,8.0,2.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,6.101929258057502,0.9004761904761904,0.7021321829603645,1.4804365054766766,1.0,14.375178634395507,0.9225,0.6709843374243007,1.0,30.519598915692235,0.933125,0.6402987160408483,1.0,6.101929258057502,0.7021321829603645,1.0,7.911001845029868,0.8358334845481299,1.0,146.58449108885162,1.0,28.323032364880383,0.9356547619047618,1.0000000000000162,4,10.0
4.0,6.0,1.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,1.6224787181089375,0.9038988095238095,0.8732643945358635,1.3327474874797614,1.0,5.514023977071432,0.9266666666666666,0.87474082821933,1.0,15.905710814960592,0.9441666666666666,0.8589332276498899,1.0,2.4555016949802373,0.7807572770520023,1.0,1.6224787181089375,0.8732643945358635,1.0,185.1605281356853,1.0,15.690305744919499,0.9413988095238095,1.0000000000000162,4,10.5
2.0,8.0,1.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,3.626710580191284,0.9108035714285715,0.7786629314100649,1.4081602822350168,1.0,10.336090153602683,0.9291666666666667,0.7617885405528388,1.0,17.268445973505475,0.9325,0.7324866218961138,1.0,3.626710580191284,0.7786629314100649,1.0,3.772558629919245,0.8727170638648608,1.0,112.56397292928065,1.0,17.01785573000307,0.9380952380952381,1.0000000000000162,4,10.5
8.0,2.0,1.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,23.373152038097594,0.9524999999999999,0.8435268897069665,2.204141124153629,1.0,41.63160043210027,0.9583333333333334,0.8295588519925096,1.0,88.41015839461978,0.9645833333333333,0.8065565540741471,1.0,33.33518906947757,0.6980725124476805,1.0,23.373152038097594,0.8435268897069665,1.0,1408.905985141764,1.0,130.02992263253932,0.9613392857142857,1.0000000000000162,4,10.5
