condition,stress_family,mode,n,finite_rate,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,mean_Y_final,max_Tc_p95,max_Tp_p95,max_Tr_p95,min_Es_p05,min_Pm_p05,fail_Tc_rate,fail_Tp_rate,fail_Tr_rate,fail_Es_rate,fail_Pm_rate,fail_G_rate,fail_Y_rate
baseline,manageable,a10_v4_safe,224,1.0,0.03125,0.0,4.697635163193645e-05,0.0,4.697635163193645e-05,4.697635163193645e-05,0.0030505952380952,0.9647066241046964,0.9916729226403108,0.8240532531356405,0.6357595582671218,0.2532431816000059,0.84,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
baseline,out_of_sample,a10_v4_safe,160,1.0,0.06875,0.0,7.107206022479776e-05,0.0,7.107206022479776e-05,0.0014035188024397,0.0066666666666666,0.9436299041844732,1.0109797522528357,0.863903835821228,0.7160566268774846,0.250050250909879,0.6241684208006046,0.06875,0.0,0.0,0.0,0.0,0.0,0.0
sensor_delay_0p5,frontier,a10_v4_safe,32,1.0,0.21875,0.0,0.0003673209733711,0.0,0.002846487788246,0.0035733508704153,0.026484375,0.8917629004067711,1.0344625022055125,0.8743243508700286,0.6942482758569191,0.2468733180569729,0.72,0.21875,0.0,0.0,0.0,0.0,0.0,0.0
sensor_delay_0p5,harsh,a10_v4_safe,32,1.0,1.0,0.0,0.0518335816583779,0.0434354553329623,0.1453148939176888,0.1644081099123521,0.160625,0.8334709286429026,1.196092082254162,1.0048581815042754,0.7790890470627483,0.1949828613827293,0.4919217363892858,1.0,0.75,0.0,0.0,0.0,0.0,0.0
sensor_delay_0p5,manageable,a10_v4_safe,224,1.0,0.0223214285714285,0.0,1.1430421047990974e-06,0.0,1.1430421047990974e-06,1.1430421047990974e-06,0.001078869047619,0.9289897933948682,0.9772247691730264,0.823064834378897,0.6312403275766943,0.2494118751445713,0.84,0.0223214285714285,0.0,0.0,0.0,0.0,0.0,0.0
sensor_delay_0p5,out_of_sample,a10_v4_safe,160,1.0,0.05,0.0,0.0001693941662989,0.0,0.0001693941662989,0.0033878833259784,0.005203125,0.9037847567384596,0.9982512754624496,0.8572132877330265,0.7032468002133437,0.2418921982102569,0.5696246041514689,0.05,0.0,0.0,0.0,0.0,0.0,0.0
sensor_delay_1p0,frontier,a10_v4_safe,32,1.0,0.03125,0.0,9.969346256567434e-09,0.0,9.969346256567434e-09,9.969346256567434e-09,0.000546875,0.8513061771109975,0.9787430939581802,0.8320337824087605,0.6621966842486516,0.2486296825804477,0.7131416481721369,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
sensor_delay_1p0,harsh,a10_v4_safe,32,1.0,1.0,0.9375,0.0320848346123733,0.0263579302358589,0.0886765518705958,0.1035342005485723,0.145078125,0.7931076710545251,1.1608904838763314,0.9799219658290548,0.7648237303928137,0.194279855832317,0.4282039512406664,1.0,0.6875,0.0,0.0,0.0,0.0,0.9375
sensor_delay_1p0,manageable,a10_v4_safe,224,1.0,0.0223214285714285,0.0,1.6116605986500047e-05,0.0,1.6116605986500047e-05,1.6116605986500047e-05,0.0016555059523809,0.8875521603001403,0.9493330407350558,0.7985416453015585,0.619615375859055,0.243366228506395,0.7897699193933734,0.0223214285714285,0.0,0.0,0.0,0.0,0.0,0.0
sensor_delay_1p0,out_of_sample,a10_v4_safe,160,1.0,0.0125,0.0,6.971040415055907e-06,0.0,6.971040415055907e-06,6.971040415055907e-06,0.0013802083333333,0.8595387871809972,0.9733028105259588,0.8423549356620118,0.7045372363428136,0.2252942411550624,0.4885944145931098,0.0125,0.0,0.0,0.0,0.0,0.0,0.0
