stress,mode,fail_Tc_mean,fail_Tp_mean,fail_Tr_mean,fail_Es_mean,fail_Pm_mean,fail_G_mean,fail_Y_mean,failure_mean,V_mean,V_median,unsafe_fraction_mean,Y_final_mean,max_Tc_mean,max_Tc_median,max_Tc_max,min_Es_mean,min_Es_min,min_Pm_mean,min_Pm_min
combined_moderate,a10_hybrid,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,293.4048077547398,288.46155037551614,0.9705381944444444,0.6368170586348989,4.9749307700557255,4.963803661271493,5.994749760614381,0.2218132246537663,0.2047509322916737,0.7200000000000001,0.72
combined_moderate,load_throttle,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1383.1525086200534,1343.149520363849,0.9736284722222223,0.5595571508498846,8.989595198136284,8.887575427577962,10.407385589652868,0.7200000000000001,0.72,0.7200000000000001,0.72
combined_moderate,no_control,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4075.819565210961,4014.6604256190844,0.9758680555555556,1.0000000000000162,14.705745661554262,14.608220477146162,17.848242190696933,0.7200000000000001,0.72,0.7200000000000001,0.72
combined_moderate,pump_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1081.8823180155225,1087.8818278447068,0.9727951388888889,1.0000000000000162,7.344335608028197,7.394195588118694,8.22369434178464,0.7200000000000001,0.72,0.7200000000000001,0.72
combined_moderate,pump_radiator,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,888.7112782923296,884.1958822089191,0.9738541666666668,1.0000000000000162,6.978199438534557,6.962596479893034,8.277526168849445,0.7200000000000001,0.72,0.7174292393291791,0.6394010841394787
combined_moderate,radiator_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3328.0110816621236,3189.283678875108,0.9759895833333334,1.0000000000000162,12.958397124974633,12.768330813481068,15.378976034572355,0.7200000000000001,0.72,0.7200000000000001,0.72
eclipse_transition,a10_hybrid,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,129.04757234142772,126.95454616305787,0.9665972222222222,0.6727641149991257,3.4267105894242698,3.418274963886712,3.852550804921492,0.28533329166348304,0.2582663880458259,0.84,0.84
eclipse_transition,load_throttle,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,711.760368058592,705.1015114804202,0.9705034722222222,0.5606241442170747,7.092945249046859,7.117732639792293,8.26574373275817,0.86,0.86,0.84,0.84
eclipse_transition,no_control,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2268.0467142201865,2182.201626537678,0.9735069444444444,1.0000000000000162,11.742849437152763,11.575236368177828,13.971567200370975,0.86,0.86,0.84,0.84
eclipse_transition,pump_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,556.2015987381948,549.5125474966405,0.9690798611111111,1.0000000000000162,5.590321002232329,5.572355345245507,6.642731774613575,0.86,0.86,0.84,0.84
eclipse_transition,pump_radiator,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,428.47341715757716,406.1286581662108,0.9694270833333333,1.0000000000000162,4.963293440962576,4.888471935215131,5.875631824202913,0.86,0.86,0.8396653597715457,0.8279031649382643
eclipse_transition,radiator_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1742.0403763529048,1649.2888444235423,0.9728645833333333,1.0000000000000162,10.098852068852048,9.910326279013237,13.135896211348342,0.86,0.86,0.84,0.84
nominal,a10_hybrid,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,139.29060776173526,128.04474219648895,0.9670833333333334,0.671262291670433,3.4880703493732756,3.442807315821766,4.009507613744036,0.2791669039513091,0.2460068398031917,0.84,0.84
nominal,load_throttle,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,736.3478033220555,707.4188216970473,0.9706944444444444,0.5605580843655728,7.202051471034881,7.159441384755792,8.559118066047896,0.86,0.86,0.84,0.84
nominal,no_control,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2257.240973197719,2273.529138502527,0.9735069444444444,1.0000000000000162,11.726753836590069,11.784040889639346,13.932832712968647,0.86,0.86,0.84,0.84
nominal,pump_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,567.0012951666682,563.53759242615,0.9696006944444444,1.0000000000000162,5.62112412156359,5.6304652409695155,6.536276377166594,0.86,0.86,0.84,0.84
