rad_scale,transport_scale,storage_scale,mode,stress,n,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,mean_Y_final,max_Tc_p95,min_Es_p05,min_Pm_p05
24.0,12.0,2.0,no_control,radiator_degradation,64,1.0,0.0,14.159714425034684,14.036296250543941,20.36576704713721,20.816530554024087,0.9586328125000001,1.0000000000000162,1.9454114727820628,0.86,0.84
24.0,12.0,2.0,no_control,solar_heating,64,1.0,0.0,11.336273372946838,10.532739494399966,19.58615020483405,20.662333464775273,0.957265625,1.0000000000000162,1.9306089386809007,0.86,0.84
24.0,12.0,2.0,no_control,storage_saturation,64,1.0,0.0,24.189624379662973,23.43995956527073,38.63903370363713,41.278812397590954,0.9570703125,1.0000000000000162,3.10677484409322,0.46,0.84
24.0,12.0,2.0,pump_radiator,burst_heat,64,1.0,0.0,0.7405241954388759,0.7132824784256573,1.3825793899337333,1.4705818822400185,0.2944661458333333,1.0000000000000162,1.5020999875397107,0.86,0.84
24.0,12.0,2.0,pump_radiator,combined_harsh,64,1.0,0.0,2.9549216784185295,2.738141395522962,6.0018477797695535,6.941680886018521,0.8936588541666668,1.0000000000000162,1.7828559420214392,0.62,0.5493171327232234
24.0,12.0,2.0,pump_radiator,combined_moderate,64,1.0,0.0,0.6320082475761422,0.600657527315691,1.1999200003634123,1.335941059031171,0.5056640625,1.0000000000000162,1.423625270828323,0.72,0.72
24.0,12.0,2.0,pump_radiator,eclipse_transition,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000162,0.9608258617098295,0.86,0.84
24.0,12.0,2.0,pump_radiator,nominal,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000162,0.9603703440464658,0.86,0.84
24.0,12.0,2.0,pump_radiator,power_shortage,64,0.015625,0.0,3.989036333437794e-06,0.0,3.989036333437794e-06,3.989036333437794e-06,0.013502604166666666,1.0000000000000162,0.9698453883771532,0.86,0.8132375634244744
24.0,12.0,2.0,pump_radiator,radiator_degradation,64,0.25,0.0,0.005501797548869498,0.0,0.043650911994269216,0.05616987240519555,0.22106770833333333,1.0000000000000162,1.0427130581737243,0.86,0.84
24.0,12.0,2.0,pump_radiator,solar_heating,64,0.046875,0.0,0.0006676316171432784,0.0,0.0006676316171432784,0.0006676316171432784,0.042565104166666666,1.0000000000000162,0.9931621012657417,0.86,0.84
