condition,stress_family,mode,n,finite_rate,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,mean_Y_final,max_Tc_p95,max_Tp_p95,max_Tr_p95,min_Es_p05,min_Pm_p05,fail_Tc_rate,fail_Tp_rate,fail_Tr_rate,fail_Es_rate,fail_Pm_rate,fail_G_rate,fail_Y_rate
actuator_0p6,manageable,a10_robust_v3,224,1.0,0.27232142857142855,0.0,0.010855249461855615,0.0,0.0816790267077554,0.11079620402112729,0.039475446428571426,0.8996621067329963,1.1536439497785,0.9139026673705642,0.6567309694454277,0.25589499842219104,0.84,0.27232142857142855,0.03125,0.0,0.0,0.0,0.0,0.0
actuator_0p6,manageable,pump_radiator,224,1.0,0.6741071428571429,0.0,0.36026654882246156,0.03567363005586548,1.729162746785004,2.042893163557363,0.47125,1.0000000000000162,1.6018325920180438,1.2927360291019856,0.6861010611902723,0.46,0.84,0.6741071428571429,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
actuator_0p6,out_of_sample,a10_full,160,1.0,0.80625,0.0,0.03579826445447736,0.014635462906398649,0.16281365468744424,0.22126579159219797,0.131234375,0.9031302177947541,1.2000269274290571,0.9803853830906292,0.7513253480054807,0.24783728419007553,0.72,0.80625,0.35625,0.0,0.0,0.0,0.0,0.0
actuator_0p6,out_of_sample,a10_predictive,160,1.0,0.8,0.0,0.03902112036993041,0.021634166378645722,0.15091497156534045,0.18223966543769687,0.13374479166666667,0.9012460528097247,1.2078328311173288,0.9885058470161691,0.7651917233576849,0.24302791565210405,0.72,0.8,0.43125,0.0,0.0,0.0,0.0,0.0
actuator_0p6,out_of_sample,a10_robust_v3,160,1.0,0.7375,0.0,0.0271220605925528,0.013455483898587368,0.10370918753141467,0.11983761600257134,0.11655208333333333,0.8756124805439873,1.1854537235176774,0.9665768599994101,0.7531310291977393,0.24974892800155202,0.7139236913876305,0.7375,0.30625,0.0,0.0,0.0,0.0,0.0
actuator_0p6,out_of_sample,pump_radiator,160,1.0,1.0,0.0,1.065160495121578,0.9454472847363584,2.5091656021537845,2.922073829903143,0.798375,1.0000000000000162,1.6082019441747846,1.3208390911841732,0.7776486980886606,0.72,0.72,1.0,1.0,0.0,0.0,0.0,0.0,0.0
actuator_0p8,frontier,a10_full,32,1.0,0.9375,0.0,0.012613654299313723,0.006335667685729039,0.04805464686072999,0.06026456449061775,0.12481770833333333,0.9027702196404144,1.1266890996966026,0.9358616831144988,0.7092691850179168,0.23745230267364123,0.72,0.9375,0.21875,0.0,0.0,0.0,0.0,0.0
actuator_0p8,frontier,a10_predictive,32,1.0,0.90625,0.0,0.018875950417080893,0.010160687316143039,0.061160301508895704,0.06740328791603659,0.13403645833333333,0.8980747785043219,1.1415070623589156,0.9522462526417197,0.7186056390430058,0.23323291854004247,0.72,0.90625,0.3125,0.0,0.0,0.0,0.0,0.0
actuator_0p8,frontier,a10_robust_v3,32,1.0,0.65625,0.0,0.009066350102442219,0.0003106018201411774,0.05698325400083117,0.07844010447671408,0.08,0.9001347235514645,1.1307853138582145,0.9322258981698899,0.7025422641437102,0.24090016453033333,0.72,0.65625,0.125,0.0,0.0,0.0,0.0,0.0
actuator_0p8,frontier,pump_radiator,32,1.0,1.0,0.0,1.191008294520266,1.0631491638885366,2.332829098619357,2.5488995343951224,0.8026041666666667,1.0000000000000162,1.559455200212338,1.3346825057720386,0.7352146725196,0.72,0.72,1.0,1.0,0.0,0.0,0.0,0.0,0.0
