rad_scale,transport_scale,storage_scale,mode,stress,n,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,mean_Y_final,max_Tc_p95,min_Es_p05,min_Pm_p05
1.0,1.0,1.0,pump_radiator,radiator_degradation,8,1.0,0.0,471.6228318898419,490.59739456890827,569.83920969147,569.83920969147,0.9692708333333333,1.0000000000000162,5.5928544968222305,0.86,0.84
1.0,1.0,1.0,pump_radiator,solar_heating,8,1.0,0.0,422.51168956275,430.9370183635101,499.96338021095045,499.96338021095045,0.9692708333333333,1.0000000000000162,5.22569121112516,0.86,0.84
1.0,1.0,1.0,pump_radiator,storage_saturation,8,1.0,0.0,693.1021717586,646.3397296372557,1099.6771148417151,1099.6771148417151,0.9708333333333334,1.0000000000000162,7.694997895814112,0.46,0.84
1.0,1.0,1.0,radiator_only,burst_heat,8,1.0,0.0,3027.679049926399,3049.234843916508,4010.8692179309023,4010.8692179309023,0.9723958333333333,1.0000000000000162,13.387651391511145,0.86,0.84
1.0,1.0,1.0,radiator_only,combined_harsh,8,1.0,0.0,4599.494961233782,4795.909066663842,5760.722847009096,5760.722847009096,0.9769791666666667,1.0000000000000162,16.174189292534557,0.62,0.64177997914024
1.0,1.0,1.0,radiator_only,combined_moderate,8,1.0,0.0,3232.539591612399,3300.856511784874,3982.569069730775,3982.569069730775,0.9758333333333333,1.0000000000000162,13.91950252802383,0.72,0.72
1.0,1.0,1.0,radiator_only,eclipse_transition,8,1.0,0.0,1787.7781671987323,1792.7676906662414,2111.397357430241,2111.397357430241,0.9733333333333334,1.0000000000000162,11.052259096888536,0.86,0.84
1.0,1.0,1.0,radiator_only,nominal,8,1.0,0.0,1677.4570685320782,1542.4423975724958,2452.4955509875927,2452.4955509875927,0.9720833333333334,1.0000000000000162,11.548620356312012,0.86,0.84
1.0,1.0,1.0,radiator_only,power_shortage,8,1.0,0.0,1839.7618344088842,1765.542093176287,2440.763550748955,2440.763550748955,0.9738541666666667,1.0000000000000162,11.602380176755986,0.86,0.8389141993906188
1.0,1.0,1.0,radiator_only,radiator_degradation,8,1.0,0.0,1730.1862206457763,1740.0260092660621,2072.277313998507,2072.277313998507,0.9727083333333333,1.0000000000000162,10.994697800541546,0.86,0.84
1.0,1.0,1.0,radiator_only,solar_heating,8,1.0,0.0,1623.7636304865746,1674.974444089108,2110.7386796466285,2110.7386796466285,0.9717708333333333,1.0000000000000162,10.846814744765316,0.86,0.84
1.0,1.0,1.0,radiator_only,storage_saturation,8,1.0,0.0,2517.4668433473144,2313.4028532927355,3652.0415835908293,3652.0415835908293,0.9722916666666667,1.0000000000000162,12.828754335605833,0.46,0.84
1.0,1.0,2.0,a10_hybrid,burst_heat,8,1.0,1.0,244.61174864509272,244.99783529168303,356.6287035331907,356.6287035331907,0.9673958333333333,0.5966978861412289,5.77468054178189,0.16667871594707062,0.84
1.0,1.0,2.0,a10_hybrid,combined_harsh,8,1.0,1.0,325.1744315982093,321.49524898672473,449.4873531023102,449.4873531023102,0.9721875,0.5631818807104464,5.903994749591751,0.14987165679073683,0.5628831817684344
1.0,1.0,2.0,a10_hybrid,combined_moderate,8,1.0,1.0,246.21974024656834,254.02028119564756,282.3297822829893,282.3297822829893,0.9720833333333334,0.5816753284121703,5.012871465506846,0.1623868775253109,0.72
1.0,1.0,2.0,a10_hybrid,eclipse_transition,8,1.0,1.0,96.31638739974392,95.25915782919577,155.98217636448237,155.98217636448237,0.9661458333333333,0.6214697490413138,3.430579727325387,0.18652379941873476,0.84
1.0,1.0,2.0,a10_hybrid,nominal,8,1.0,1.0,103.9049130142074,111.6830295179774,124.39332147134073,124.39332147134073,0.9672916666666667,0.6173363140425892,3.2869988553639957,0.19050847635511123,0.84
1.0,1.0,2.0,a10_hybrid,power_shortage,8,1.0,1.0,115.29686063685534,119.81521807311465,168.9110383416743,168.9110383416743,0.9688541666666667,0.6149180675988881,3.5392051354799468,0.18385296947909613,0.7893696215493767
1.0,1.0,2.0,a10_hybrid,radiator_degradation,8,1.0,1.0,109.44580495135344,115.79994907699134,146.2615217522627,146.2615217522627,0.9663541666666666,0.6168564613716961,3.4737927850767853,0.18456828539570994,0.84
1.0,1.0,2.0,a10_hybrid,solar_heating,8,1.0,1.0,96.86217400683174,93.81220125464573,127.44397916016428,127.44397916016428,0.9657291666666667,0.6215880195726995,3.3110989426088837,0.18553787476995018,0.84
1.0,1.0,2.0,a10_hybrid,storage_saturation,8,1.0,1.0,153.17315903287064,153.7960007507415,192.6799066416672,192.6799066416672,0.9663541666666666,0.5580604281516541,4.445104802918411,0.16138004890765753,0.84
1.0,1.0,2.0,load_throttle,burst_heat,8,1.0,1.0,1373.0651784845259,1370.9121424232462,1619.2343286164921,1619.2343286164921,0.9706250000000001,0.5605941378246908,9.337422639407027,0.86,0.84
1.0,1.0,2.0,load_throttle,combined_harsh,8,1.0,1.0,2022.5959853285658,2061.398066780241,2395.1176481481666,2395.1176481481666,0.9754166666666667,0.558983651055271,11.048632834497877,0.62,0.65
1.0,1.0,2.0,load_throttle,combined_moderate,8,1.0,1.0,1269.2475766990265,1304.9024872803157,1407.1192599772376,1407.1192599772376,0.9726041666666667,0.5599124004551237,9.10433616604908,0.72,0.72
1.0,1.0,2.0,load_throttle,eclipse_transition,8,1.0,1.0,735.4091139054995,717.3814854659408,1013.0472776806564,1013.0472776806564,0.9706250000000001,0.5605993792955521,8.153081369471881,0.86,0.84
1.0,1.0,2.0,load_throttle,nominal,8,1.0,1.0,748.20429148996,776.4014163285473,938.0634651677248,938.0634651677248,0.9707291666666666,0.5605311173569403,7.8145921390619755,0.86,0.84
1.0,1.0,2.0,load_throttle,power_shortage,8,1.0,1.0,846.7071596176798,842.3797964284088,1191.2666471548055,1191.2666471548055,0.9724999999999999,0.5599152861837662,8.539814999286671,0.86,0.84
1.0,1.0,2.0,load_throttle,radiator_degradation,8,1.0,1.0,759.001090238992,721.7254752058097,924.9680994109327,924.9680994109327,0.9709375,0.5605082864261488,8.005173541599984,0.86,0.84
1.0,1.0,2.0,load_throttle,solar_heating,8,1.0,1.0,791.4230116015947,798.013174548005,1002.0949744837958,1002.0949744837958,0.9713541666666667,0.5603094989858788,8.150007216789733,0.86,0.84
1.0,1.0,2.0,load_throttle,storage_saturation,8,1.0,1.0,1184.2798526318593,1181.0051573951796,1431.784438084275,1431.784438084275,0.971875,0.560113442433186,8.84172588502773,0.46,0.84
1.0,1.0,2.0,no_control,burst_heat,8,1.0,0.0,4020.9666008915883,4037.8433209949526,4995.936650101185,4995.936650101185,0.9728125000000001,1.0000000000000162,15.253083152246829,0.86,0.84
1.0,1.0,2.0,no_control,combined_harsh,8,1.0,0.0,6546.714506457105,6293.127334517903,8757.45529847421,8757.45529847421,0.9784375,1.0000000000000162,19.6659209363071,0.62,0.65
1.0,1.0,2.0,no_control,combined_moderate,8,1.0,0.0,4430.420447661039,4391.659643112711,5505.010881932393,5505.010881932393,0.9770833333333333,1.0000000000000162,16.900071595985963,0.72,0.72
1.0,1.0,2.0,no_control,eclipse_transition,8,1.0,0.0,2065.648103502733,2053.1905246582037,2670.574021115083,2670.574021115083,0.9725,1.0000000000000162,12.425079951213927,0.86,0.84
1.0,1.0,2.0,no_control,nominal,8,1.0,0.0,2227.762598491636,2166.564223680354,2799.782363263301,2799.782363263301,0.9734375,1.0000000000000162,12.8791551778601,0.86,0.84
1.0,1.0,2.0,no_control,power_shortage,8,1.0,0.0,2591.9646818195088,2365.061912794806,3705.4823092409006,3705.4823092409006,0.9751041666666667,1.0000000000000162,14.273156643021903,0.86,0.84
1.0,1.0,2.0,no_control,radiator_degradation,8,1.0,0.0,2030.1928498056095,1931.700935659176,2586.33707759325,2586.33707759325,0.9720833333333334,1.0000000000000162,12.5279322366208,0.86,0.84
1.0,1.0,2.0,no_control,solar_heating,8,1.0,0.0,2276.910308250287,2249.119567670655,3110.878614078278,3110.878614078278,0.9732291666666667,1.0000000000000162,13.202718888049917,0.86,0.84
1.0,1.0,2.0,no_control,storage_saturation,8,1.0,0.0,3323.4314926111824,2926.9384312225448,5013.92585739306,5013.92585739306,0.9733333333333334,1.0000000000000162,15.52899487399432,0.46,0.84
1.0,1.0,2.0,pump_only,burst_heat,8,1.0,0.0,1150.2860968984328,1113.643822527348,1482.8946642678266,1482.8946642678266,0.9713541666666667,1.0000000000000162,8.8068158647294,0.86,0.84
1.0,1.0,2.0,pump_only,combined_harsh,8,1.0,0.0,1529.0243305620352,1634.8264234675635,1934.2295930386194,1934.2295930386194,0.9740625,1.0000000000000162,9.553695952896188,0.62,0.615703871277781
1.0,1.0,2.0,pump_only,combined_moderate,8,1.0,0.0,1117.9476439497726,1075.9959708854967,1431.9993407896116,1431.9993407896116,0.9742708333333334,1.0000000000000162,8.064422573168304,0.72,0.72
1.0,1.0,2.0,pump_only,eclipse_transition,8,1.0,0.0,602.7222588431813,551.1871623678776,802.330936897732,802.330936897732,0.9702083333333333,1.0000000000000162,6.4081133767864165,0.86,0.84
1.0,1.0,2.0,pump_only,nominal,8,1.0,0.0,551.3431819654593,562.617564047834,717.5817797789391,717.5817797789391,0.9691666666666666,1.0000000000000162,6.042276196290181,0.86,0.84
1.0,1.0,2.0,pump_only,power_shortage,8,1.0,0.0,574.0175878666644,599.6660766552669,686.4194848358691,686.4194848358691,0.9696875,1.0000000000000162,6.0838479138496915,0.86,0.7678144417305546
1.0,1.0,2.0,pump_only,radiator_degradation,8,1.0,0.0,588.2634304608207,523.5870262694139,932.9494402640688,932.9494402640688,0.9686458333333334,1.0000000000000162,6.623615018894973,0.86,0.84
1.0,1.0,2.0,pump_only,solar_heating,8,1.0,0.0,543.0418639591152,514.7966495793204,695.1130323750315,695.1130323750315,0.9684375000000001,1.0000000000000162,5.962550591103108,0.86,0.84
1.0,1.0,2.0,pump_only,storage_saturation,8,1.0,0.0,848.0125654182634,791.5125807821566,1452.3333374165431,1452.3333374165431,0.9683333333333333,1.0000000000000162,8.042932263653597,0.46,0.84
1.0,1.0,2.0,pump_radiator,burst_heat,8,1.0,0.0,843.2469014155897,815.2792651323058,1048.6614117755512,1048.6614117755512,0.9695833333333335,1.0000000000000162,7.9297319345429385,0.86,0.84
1.0,1.0,2.0,pump_radiator,combined_harsh,8,1.0,0.0,1307.3312150177771,1354.3789630716178,1524.1892929791825,1524.1892929791825,0.9762500000000001,1.0000000000000162,9.027438097078102,0.62,0.49313272598420826
1.0,1.0,2.0,pump_radiator,combined_moderate,8,1.0,0.0,947.0459614351578,978.75823023818,1129.1544829682323,1129.1544829682323,0.9745833333333334,1.0000000000000162,7.682757854602038,0.72,0.72
1.0,1.0,2.0,pump_radiator,eclipse_transition,8,1.0,0.0,392.1414276574652,379.1552484464313,520.1528995450233,520.1528995450233,0.9684375,1.0000000000000162,5.20291264185681,0.86,0.84
1.0,1.0,2.0,pump_radiator,nominal,8,1.0,0.0,377.4893627618688,367.0188580779976,492.46655354168763,492.46655354168763,0.9672916666666667,1.0000000000000162,5.195667871611524,0.86,0.84
1.0,1.0,2.0,pump_radiator,power_shortage,8,1.0,0.0,443.310315947121,469.79325893422595,549.5618627230932,549.5618627230932,0.9710416666666667,1.0000000000000162,5.379683923620554,0.86,0.5958541235448466
1.0,1.0,2.0,pump_radiator,radiator_degradation,8,1.0,0.0,489.2021109214631,494.513355276781,580.5538288566737,580.5538288566737,0.9705208333333333,1.0000000000000162,5.624434405479188,0.86,0.84
1.0,1.0,2.0,pump_radiator,solar_heating,8,1.0,0.0,417.0368133380617,419.9162059306135,513.5492869560026,513.5492869560026,0.9689583333333334,1.0000000000000162,5.241806658278772,0.86,0.84
1.0,1.0,2.0,pump_radiator,storage_saturation,8,1.0,0.0,739.4606168444745,699.0237246389875,1083.635881236383,1083.635881236383,0.9715625,1.0000000000000162,7.6225901263149245,0.46,0.84
1.0,1.0,2.0,radiator_only,burst_heat,8,1.0,0.0,3036.6286486481686,2965.181014531345,4160.036972613641,4160.036972613641,0.9726041666666667,1.0000000000000162,13.80956285681897,0.86,0.84
1.0,1.0,2.0,radiator_only,combined_harsh,8,1.0,0.0,5201.052482126582,5041.1568130765245,7017.525133326072,7017.525133326072,0.978125,1.0000000000000162,17.85888243993154,0.62,0.6105647037056373
1.0,1.0,2.0,radiator_only,combined_moderate,8,1.0,0.0,3336.597014287412,3395.5359421959542,4013.7433972273825,4013.7433972273825,0.9761458333333333,1.0000000000000162,13.856640661888914,0.72,0.72
