stress,mode,n,finite_rate,failure_rate,mean_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,max_Tc_p95,min_Es_p05,min_Pm_p05,mean_Y_final
eclipse_transition,a10_hybrid,48,1.0,1.0,129.04757234142775,178.00556390344832,183.97868511336767,0.9665972222222221,3.7554616212582097,0.2631802846243902,0.84,0.6727641149991257
eclipse_transition,pump_radiator,48,1.0,1.0,428.4734171575771,603.9190462483459,630.691912223569,0.9694270833333333,5.589962261776794,0.86,0.84,1.0000000000000162
eclipse_transition,pump_only,48,1.0,1.0,556.2015987381948,743.7594851537639,764.5658358505863,0.9690798611111111,6.216385465216504,0.86,0.84,1.0000000000000162
eclipse_transition,load_throttle,48,1.0,1.0,711.760368058592,962.0376655287768,983.5703449181278,0.9705034722222222,7.920119212804378,0.86,0.84,0.5606241442170747
eclipse_transition,radiator_only,48,1.0,1.0,1742.0403763529048,2677.551227082412,2913.4727543265394,0.9728645833333335,11.819732801226529,0.86,0.84,1.0000000000000162
eclipse_transition,no_control,48,1.0,1.0,2268.0467142201865,3046.6843585972038,3161.170943465546,0.9735069444444444,13.192640764092825,0.86,0.84,1.0000000000000162
nominal,a10_hybrid,48,1.0,1.0,139.29060776173526,212.2835141966224,218.4156362432722,0.9670833333333334,3.9528019083561463,0.2504685540554464,0.84,0.6712622916704332
nominal,pump_radiator,48,1.0,1.0,449.9820879791175,646.5419290151281,687.7062460539115,0.9701388888888888,5.7862492440011035,0.86,0.84,1.0000000000000162
nominal,pump_only,48,1.0,1.0,567.0012951666682,739.8810306042582,769.3756661935798,0.9696006944444444,6.102132845922799,0.86,0.84,1.0000000000000162
nominal,load_throttle,48,1.0,1.0,736.3478033220557,1001.0293342865491,1043.3736628510553,0.9706944444444444,8.003544377518146,0.86,0.84,0.5605580843655728
nominal,radiator_only,48,1.0,1.0,1679.2433168122525,2222.9598376148215,2266.2844649151593,0.9725000000000001,11.234480151826666,0.86,0.84,1.0000000000000162
