rad_scale,transport_scale,storage_scale,mode,manageable_failure,manageable_throughput_failure,manageable_CVaR95,manageable_unsafe,manageable_Y,manageable_Tc95,frontier_failure,frontier_CVaR95,frontier_unsafe,frontier_Y,frontier_Tc95,harsh_failure,harsh_CVaR95,harsh_unsafe,harsh_Y,harsh_Tc95
2.0,4.0,1.0,a10_hybrid,1.0,1.0,11.232098386731717,0.931577380952381,0.7672422245393173,1.7996393640155275,1.0,31.830879942553892,0.9472916666666666,0.7352874220564615,2.6807312766628364,1.0,43.451178723628374,0.9520833333333333,0.6993187025279772,2.9943741950851517
2.0,4.0,1.0,a10_hybrid_v2,1.0,0.0,10.505192530272781,0.9316666666666668,0.8691308558972557,1.7498862595611615,1.0,24.27358818804097,0.9466666666666667,0.8619764800745775,2.3658695053078946,1.0,46.26191325833522,0.94875,0.8399668516938478,2.8561159458797176
2.0,4.0,1.0,no_control,1.0,0.0,484.6842343503725,0.9700892857142857,1.0000000000000162,5.573964158509701,1.0,713.659849774962,0.973125,1.0000000000000162,7.161767177775313,1.0,1179.3513922892475,0.9766666666666667,1.0000000000000162,9.043441365214367
2.0,4.0,1.0,pump_radiator,1.0,0.0,52.455138703843325,0.9507738095238095,1.0000000000000162,2.47703523390375,1.0,92.71489663856282,0.9606250000000001,1.0000000000000162,3.337072123076142,1.0,139.54612597783475,0.9620833333333333,1.0000000000000162,3.906126082368075
2.0,4.0,2.0,a10_hybrid,1.0,1.0,6.715444473624652,0.9197023809523809,0.7029067957706199,1.653090930958642,1.0,15.636419526362646,0.9339583333333333,0.6766181616674417,2.147227578871307,1.0,33.77134555030292,0.95125,0.6271394816604164,2.657687244660012
2.0,4.0,2.0,a10_hybrid_v2,1.0,0.14285714285714285,8.442018296928557,0.9267261904761905,0.8367254611575848,1.693479756386815,1.0,16.780331079049517,0.9339583333333334,0.8185362918568324,2.0838624380500415,1.0,47.60285751439136,0.9545833333333333,0.7817234450466959,2.8622627273454766
2.0,4.0,2.0,no_control,1.0,0.0,518.5995645741149,0.9711011904761905,1.0000000000000162,5.7260527344020415,1.0,743.7735515491822,0.9722916666666667,1.0000000000000162,7.212604165243528,1.0,1071.3491215674046,0.9747916666666667,1.0000000000000162,8.718915592637806
2.0,4.0,2.0,pump_radiator,1.0,0.0,50.65097366010996,0.9501488095238095,1.0000000000000162,2.458975404008676,1.0,79.35990444769872,0.9570833333333334,1.0000000000000162,3.21223153222155,1.0,185.34597218294383,0.9658333333333333,1.0000000000000162,4.303967682624583
2.0,4.0,4.0,a10_hybrid,1.0,1.0,4.259607377182745,0.884702380952381,0.6362572976684623,1.5056113248961955,1.0,10.941223668380594,0.9110416666666666,0.6184592593025235,1.8842185123727275,1.0,33.21918150315789,0.9464583333333332,0.580373599861207,2.6808156589800016
2.0,4.0,4.0,a10_hybrid_v2,1.0,0.8214285714285714,6.1885568751054185,0.9024999999999999,0.7869933107776402,1.5916850643537688,1.0,17.225726448809134,0.930625,0.7699385848710918,2.1432400902566036,1.0,32.211717964867496,0.9468749999999999,0.7486893549238869,2.605120678378893
2.0,4.0,4.0,no_control,1.0,0.0,446.14584165594187,0.9699702380952381,1.0000000000000162,5.461619935266732,1.0,636.6104838201123,0.9697916666666666,1.0000000000000162,6.7640520693084145,1.0,1047.0925245095639,0.9754166666666667,1.0000000000000162,8.589460456832304
2.0,4.0,4.0,pump_radiator,1.0,0.0,49.58386696164102,0.9496428571428572,1.0000000000000162,2.442946663647255,1.0,72.27192095088847,0.9527083333333333,1.0000000000000162,3.0999212697654728,1.0,132.7001844428579,0.9608333333333333,1.0000000000000162,3.873679468053148
2.0,6.0,1.0,a10_hybrid,1.0,1.0,4.781644966794075,0.9166964285714286,0.7769258251455763,1.494950723695866,1.0,11.200752150009622,0.9320833333333334,0.7595578494076056,1.9137789469404742,1.0,23.136461110417258,0.9477083333333334,0.7186705048276572,2.291839672885361
2.0,6.0,1.0,a10_hybrid_v2,1.0,0.0,4.625896523741216,0.9186011904761904,0.8722013185640091,1.4767906912144189,1.0,11.539838969757978,0.9327083333333334,0.8708132042108742,1.894918181068404,1.0,29.428370197231473,0.9472916666666666,0.8475579961387303,2.334889468545444
2.0,6.0,1.0,no_control,1.0,0.0,213.2671082053943,0.9677976190476191,1.0000000000000162,4.192752200601487,1.0,440.3880228742989,0.971875,1.0000000000000162,6.077334524390408,1.0,565.4243643902566,0.9752083333333333,1.0000000000000162,6.93285733704367
2.0,6.0,1.0,pump_radiator,1.0,0.0,24.59862368571362,0.9404166666666668,1.0000000000000162,1.9969648206614754,1.0,51.55683440946958,0.9489583333333332,1.0000000000000162,2.7317760751235283,1.0,88.30260412849375,0.9564583333333333,1.0000000000000162,3.320387414509493
2.0,6.0,2.0,a10_hybrid,1.0,1.0,3.416636802117334,0.8955654761904762,0.7146538561875533,1.4418080761810224,1.0,9.149478009708709,0.9327083333333334,0.6776777133336835,1.8285785102490497,1.0,19.65611373885751,0.9406249999999999,0.6479789636041786,2.088918962091688
2.0,6.0,2.0,a10_hybrid_v2,1.0,0.07142857142857142,4.068942742370879,0.9102678571428571,0.8459822889484743,1.4569693063620568,1.0,14.575121426501877,0.9372916666666666,0.8197702531465614,1.9812908094323534,1.0,25.72339148549667,0.9431250000000001,0.7954717526913317,2.2417965118181904
2.0,6.0,2.0,no_control,1.0,0.0,185.22129364999608,0.9659226190476191,1.0000000000000162,4.004180686441659,1.0,470.3123106839532,0.9739583333333333,1.0000000000000162,6.336025529172088,1.0,679.5792910726167,0.9766666666666667,1.0000000000000162,7.468768607010314
2.0,6.0,2.0,pump_radiator,1.0,0.0,26.916365585156992,0.9393452380952382,1.0000000000000162,2.0302133438294674,1.0,46.45583018048324,0.9491666666666667,1.0000000000000162,2.6718689025370654,1.0,76.44766778084995,0.9554166666666667,1.0000000000000162,3.1208296657680203
2.0,6.0,4.0,a10_hybrid,1.0,1.0,1.7859649569003095,0.8318154761904761,0.6445152626445125,1.326971857673141,1.0,6.930353026940952,0.9052083333333333,0.6185647633557747,1.7090630937319218,1.0,17.860912179836102,0.933125,0.5905815196353904,2.027016253501048
2.0,6.0,4.0,a10_hybrid_v2,1.0,0.5714285714285714,3.708351306758884,0.8752678571428573,0.7912606079604807,1.4302890084099313,1.0,10.36682371608612,0.9270833333333333,0.7709403979688159,1.8318704642118833,1.0,22.96004620649564,0.9368750000000001,0.7531881623402499,2.151240309018371
